id,name,category,equipment,primary_muscle,secondary_muscles,difficulty,movement_pattern,instructions,video_url
1,Push Up,bodyweight,none,chest,triceps|shoulders,beginner,push,Standard push up exercise,
2,Pull Up,bodyweight,pull-up bar,back,biceps,intermediate,pull,Pull body upward to bar,
3,Barbell Bench Press,free weights,barbell,chest,triceps|shoulders,intermediate,push,Press barbell from chest,
4,Barbell Squat,free weights,barbell,legs,glutes|core,intermediate,squat,Lower hips with barbell on back,
5,Deadlift,free weights,barbell,posterior chain,glutes|back|hamstrings,advanced,hinge,Lift barbell from floor,
6,Chest Variation 1,compound,none,chest,shoulders|core,beginner,push,Perform controlled reps for chest focus.,
7,Back Variation 2,secondary_compound,barbell,back,arms|glutes,intermediate,pull,Perform controlled reps for back focus.,
8,Legs Variation 3,isolation,dumbbell,legs,core|hamstrings,advanced,squat,Perform controlled reps for legs focus.,
9,Shoulders Variation 4,core,cable,shoulders,glutes|quads,beginner,hinge,Perform controlled reps for shoulders focus.,
10,Arms Variation 5,compound,machine,arms,hamstrings|calves,intermediate,lunge,Perform controlled reps for arms focus.,
11,Core Variation 6,secondary_compound,kettlebell,core,quads|chest,advanced,carry,Perform controlled reps for core focus.,
12,Glutes Variation 7,isolation,resistance_band,glutes,calves|back,beginner,rotation,Perform controlled reps for glutes focus.,
13,Hamstrings Variation 8,core,none,hamstrings,chest|legs,intermediate,brace,Perform controlled reps for hamstrings focus.,
14,Quads Variation 9,compound,barbell,quads,back|shoulders,advanced,push,Perform controlled reps for quads focus.,
15,Calves Variation 10,secondary_compound,dumbbell,calves,legs|arms,beginner,pull,Perform controlled reps for calves focus.,
16,Chest Variation 11,isolation,cable,chest,shoulders|core,intermediate,squat,Perform controlled reps for chest focus.,
17,Back Variation 12,core,machine,back,arms|glutes,advanced,hinge,Perform controlled reps for back focus.,
18,Legs Variation 13,compound,kettlebell,legs,core|hamstrings,beginner,lunge,Perform controlled reps for legs focus.,
19,Shoulders Variation 14,secondary_compound,resistance_band,shoulders,glutes|quads,intermediate,carry,Perform controlled reps for shoulders focus.,
20,Arms Variation 15,isolation,none,arms,hamstrings|calves,advanced,rotation,Perform controlled reps for arms focus.,
21,Core Variation 16,core,barbell,core,quads|chest,beginner,brace,Perform controlled reps for core focus.,
22,Glutes Variation 17,compound,dumbbell,glutes,calves|back,intermediate,push,Perform controlled reps for glutes focus.,
23,Hamstrings Variation 18,secondary_compound,cable,hamstrings,chest|legs,advanced,pull,Perform controlled reps for hamstrings focus.,
24,Quads Variation 19,isolation,machine,quads,back|shoulders,beginner,squat,Perform controlled reps for quads focus.,
25,Calves Variation 20,core,kettlebell,calves,legs|arms,intermediate,hinge,Perform controlled reps for calves focus.,
26,Chest Variation 21,compound,resistance_band,chest,shoulders|core,advanced,lunge,Perform controlled reps for chest focus.,
27,Back Variation 22,secondary_compound,none,back,arms|glutes,beginner,carry,Perform controlled reps for back focus.,
28,Legs Variation 23,isolation,barbell,legs,core|hamstrings,intermediate,rotation,Perform controlled reps for legs focus.,
29,Shoulders Variation 24,core,dumbbell,shoulders,glutes|quads,advanced,brace,Perform controlled reps for shoulders focus.,
30,Arms Variation 25,compound,cable,arms,hamstrings|calves,beginner,push,Perform controlled reps for arms focus.,
31,Core Variation 26,secondary_compound,machine,core,quads|chest,intermediate,pull,Perform controlled reps for core focus.,
32,Glutes Variation 27,isolation,kettlebell,glutes,calves|back,advanced,squat,Perform controlled reps for glutes focus.,
33,Hamstrings Variation 28,core,resistance_band,hamstrings,chest|legs,beginner,hinge,Perform controlled reps for hamstrings focus.,
34,Quads Variation 29,compound,none,quads,back|shoulders,intermediate,lunge,Perform controlled reps for quads focus.,
35,Calves Variation 30,secondary_compound,barbell,calves,legs|arms,advanced,carry,Perform controlled reps for calves focus.,
36,Chest Variation 31,isolation,dumbbell,chest,shoulders|core,beginner,rotation,Perform controlled reps for chest focus.,
37,Back Variation 32,core,cable,back,arms|glutes,intermediate,brace,Perform controlled reps for back focus.,
